year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2004,India,New Zealand,11963,1698,35420.0,1.508681271,84.44896209,0,0,0,3,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
2003,India,New Zealand,11963,1205,34211.0,1.722099146,82.55817431,0,0,0,5,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
2002,India,New Zealand,11963,952,33005.0,2.162190833,81.13540459,0,0,0,5,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
2001,India,New Zealand,11963,355,32391.0,2.378750833,79.01996692,0,0,0,5,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
2000,India,New Zealand,11963,201,31806.0,2.201149167,76.99813727,0,0,0,5,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
1999,India,New Zealand,11963,73,32192.0,1.889613899,75.03577581,0,0,0,5,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
1998,India,New Zealand,11963,47,31643.0,1.868249167,75.12161512,0,0,0,5,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
2006,India,New Zealand,11963,2007,36253.0,1.542055757,89.94205743,0,0,0,5,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
2016,India,United States of America,13568,135732,62153.0,1.0,110.0670089,15,50,71,137,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
2015,India,United States of America,13568,112713,62106.0,1.0,108.695722,16,51,78,146,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
2010,India,United States of America,13568,103968,59477.0,1.0,100.0,17,54,89,154,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
2011,India,United States of America,13568,101908,59562.0,1.0,103.1568416,17,53,89,151,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
2009,India,United States of America,13568,101563,58873.0,1.0,98.38641997,17,55,90,152,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
2014,India,United States of America,13568,97613,60618.0,1.0,108.5669321,16,52,77,146,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
2012,India,United States of America,13568,97120,60047.0,1.0,105.2915045,17,53,85,150,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
2008,India,United States of America,13568,94664,58401.0,1.0,98.73747739,17,54,90,159,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
2013,India,United States of America,13568,92596,59766.0,1.0,106.8338489,17,52,85,149,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
2007,India,United States of America,13568,85687,58597.0,1.0,95.08699238,17,54,88,166,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
2005,India,United States of America,13568,84044,56557.0,1.0,89.56053237,17,53,90,168,1147609927,0,0,0,3,710.0,8.2E11,44.099975,10.73248005
2004,India,United States of America,13568,79736,56490.0,1.0,86.62167812,17,51,90,170,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
2006,India,United States of America,13568,79219,57454.0,1.0,92.44970508,17,54,87,167,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
2003,India,United States of America,13568,74603,55460.0,1.0,84.36307882,17,55,96,172,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
2002,India,United States of America,13568,66836,54788.0,1.0,82.49046688,18,56,97,175,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
2001,India,United States of America,13568,47411,54360.0,1.0,81.20256846,18,56,99,177,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
2000,India,United States of America,13568,39084,53904.0,1.0,78.97072076,18,56,100,179,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
1999,India,United States of America,13568,34504,53649.0,1.0,76.39110227,18,57,102,182,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
1998,India,United States of America,13568,31000,53148.0,1.0,74.75543306,18,57,103,185,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
