year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2010,Indonesia,United States of America,14952,6882,59477.0,1.0,100.0,17,54,89,154,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
2009,Indonesia,United States of America,14952,7386,58873.0,1.0,98.38641997,17,55,90,152,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
2008,Indonesia,United States of America,14952,7700,58401.0,1.0,98.73747739,17,54,90,159,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
2007,Indonesia,United States of America,14952,7500,58597.0,1.0,95.08699238,17,54,88,166,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
2006,Indonesia,United States of America,14952,7844,57454.0,1.0,92.44970508,17,54,87,167,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
2005,Indonesia,United States of America,14952,8105,56557.0,1.0,89.56053237,17,53,90,168,226289470,0,0,0,0,1220.0,2.86E11,9704.741667,17.25584984
2004,Indonesia,United States of America,14952,8880,56490.0,1.0,86.62167812,17,51,90,170,223285676,0,0,0,0,1080.0,2.57E11,8938.85,16.6164608
2003,Indonesia,United States of America,14952,10432,55460.0,1.0,84.36307882,17,55,96,172,220309469,0,0,0,0,900.0,2.35E11,8577.133333,16.02532959
2002,Indonesia,United States of America,14952,11614,54788.0,1.0,82.49046688,18,56,97,175,217357793,0,0,0,0,790.0,1.96E11,9311.191667,14.80883026
2001,Indonesia,United States of America,14952,10082,54360.0,1.0,81.20256846,18,56,99,177,214427417,0,0,0,0,720.0,1.6E11,10260.85,14.18719959
2000,Indonesia,United States of America,14952,10432,53904.0,1.0,78.97072076,18,56,100,179,211513823,0,0,0,0,580.0,1.65E11,8421.775,14.87963009
1999,Indonesia,United States of America,14952,11177,53649.0,1.0,76.39110227,18,57,102,182,208615169,0,0,0,0,570.0,1.4E11,7855.15,14.74952984
1998,Indonesia,United States of America,14952,11800,53148.0,1.0,74.75543306,18,57,103,185,205724592,0,0,0,0,660.0,9.5445547873E10,10013.6225,13.3598299
